18:19:50,1,-5,-319
18:19:51,0,0,-318
18:19:52,1,-5,-319
18:19:53,0,-6,-319
18:19:54,1,-5,-320
18:19:55,0,-4,-319
18:19:56,0,-4,-319
18:19:57,1,-5,-320
18:19:58,0,-4,-319
18:19:59,0,-4,-320
18:20:00,-1,-305,-58
18:20:01,-8,-301,-56
18:20:02,-5,-304,-64
18:20:03,-6,-303,-67
18:20:04,-5,-304,-67
18:20:05,-6,-302,-68
18:20:06,-6,-304,-69
18:20:07,-6,-304,-69
18:20:08,-7,-304,-71
18:20:09,-6,-304,-68
18:20:10,-86,-106,159
18:20:11,-9,-20,181
18:20:12,-23,-7,180
18:20:13,-18,-4,181
18:20:14,-7,-5,180
18:20:15,-4,-7,181
18:20:16,-3,-5,180
18:20:17,0,-7,180
18:20:18,1,-6,179
18:20:19,1,-6,180
18:20:20,154,511,-100
18:20:21,-2,313,-62
18:20:22,-4,311,-58
18:20:23,-4,312,-58
18:20:24,-5,311,-58
18:20:25,-3,312,-58
18:20:26,-4,312,-58
18:20:27,-3,312,-60
18:20:28,-3,312,-60
18:20:29,-4,312,-59
18:20:30,-4,312,-61
